Belgium_index,z_index_index,ATC_match,best_z_index_index
0,1085,True,
0,1401,True,
0,4178,True,
0,4179,True,
0,6202,True,
0,7955,True,
0,7956,True,
0,7957,True,
0,7958,True,
0,7959,True,
0,7960,True,
0,7961,True,
0,14744,True,
0,22615,True,
0,22616,True,
0,26309,True,
0,28279,True,
0,33379,True,
0,34572,True,
0,36330,True,
0,36331,True,
0,37291,True,
0,42741,True,
0,49708,True,
0,63282,True,
0,63283,True,
0,64452,True,
0,65458,True,
0,65540,True,
1,1085,True,
1,1401,True,
1,4178,True,
1,4179,True,
1,6202,True,
1,7955,True,
1,7956,True,
1,7957,True,
1,7958,True,
1,7959,True,
1,7960,True,
1,7961,True,
1,14744,True,
1,22615,True,
1,22616,True,
1,26309,True,
1,28279,True,
1,33379,True,
1,34572,True,
1,36330,True,
1,36331,True,
1,37291,True,
1,42741,True,
1,49708,True,
1,63282,True,
1,63283,True,
1,64452,True,
1,65458,True,
1,65540,True,
2,1085,True,
2,1401,True,
2,4178,True,
2,4179,True,
2,6202,True,
2,7955,True,
2,7956,True,
2,7957,True,
2,7958,True,
2,7959,True,
2,7960,True,
2,7961,True,
2,14744,True,
2,22615,True,
2,22616,True,
2,26309,True,
2,28279,True,
2,33379,True,
2,34572,True,
2,36330,True,
2,36331,True,
2,37291,True,
2,42741,True,
2,49708,True,
2,63282,True,
2,63283,True,
2,64452,True,
2,65458,True,
2,65540,True,
3,1085,True,
3,1401,True,
3,4178,True,
3,4179,True,
3,6202,True,
3,7955,True,
3,7956,True,
3,7957,True,
3,7958,True,
3,7959,True,
3,7960,True,
3,7961,True,
3,14744,True,
3,22615,True,
3,22616,True,
3,26309,True,
3,28279,True,
3,33379,True,
3,34572,True,
3,36330,True,
3,36331,True,
3,37291,True,
3,42741,True,
3,49708,True,
3,63282,True,
3,63283,True,
3,64452,True,
3,65458,True,
3,65540,True,
4,1085,True,
4,1401,True,
4,4178,True,
4,4179,True,
4,6202,True,
4,7955,True,
