Name medicinal product,Strength,Pharmaceutical form,Pack Size,Pack ID,Start Date,Presumed End Date,End Date,Reason,Impact,MAH,Authorization number,SP Duration,HUMAN VETERINARY,ATC Code,cleaned_atc,PRK
Aacidexam,5 mg/ml,Solution for injection,1 ml,080026-01,2016-11-24,2017-01-31,2016-12-12,Delay in the release of the end product,,Aspen Pharma Trading Ltd. - IE - Active,BE080026,18.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,1 ml,080026-01,2017-03-21,2017-06-23,2017-06-23,Delay in the release of the end product,,Aspen Pharma Trading Ltd. - IE - Active,BE080026,94.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,1 ml,080026-01,2018-11-09,2019-08-09,2019-08-12,Production problems,,Aspen Pharma Trading Ltd. - IE - Active,BE080026,276.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,1 ml,080026-01,2019-09-30,2019-12-07,2019-12-06,Production problems,Adaptation of the treatment possible,Aspen Pharma Trading Ltd. - IE - Active,BE080026,67.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,1 ml,080026-01,2017-01-12,2017-01-31,2017-01-25,Delay in the release of the end product,,Aspen Pharma Trading Ltd. - IE - Active,BE080026,13.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,1 ml,080026-01,2017-07-14,2017-07-24,2017-07-18,Delay in the release of the end product,,Aspen Pharma Trading Ltd. - IE - Active,BE080026,4.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,10 x 1 ml,080026-03,2022-04-04,2022-05-27,2022-05-30,Delay in production,Import possible by the pharmacist,Aspen Pharma Trading Ltd. - IE - Active,BE080026,56.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,1 ml,080026-01,2015-10-12,2016-01-31,2016-01-21,Delay in the release of the end product,,Aspen Pharma Trading Ltd. - IE - Active,BE080026,101.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,1 ml,080026-01,2018-06-29,2018-07-20,2018-07-19,Delay in the release of the end product,,Aspen Pharma Trading Ltd. - IE - Active,BE080026,20.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,10 x 1 ml,080026-03,2022-08-22,2022-10-28,2022-10-13,Delay in production,Import possible by the pharmacist,Aspen Pharma Trading Ltd. - IE - Active,BE080026,52.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,10 x 1 ml,080026-03,2024-09-17,2024-11-14,2024-11-19,Delay in production,Import possible by the pharmacist,Aspen Pharma Trading Ltd. - IE - Active,BE080026,63.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,10 x 1 ml,080026-03,2024-08-19,2024-09-13,2024-09-12,Delay in production,Short-term unavailability,Aspen Pharma Trading Ltd. - IE - Active,BE080026,24.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,10 x 1 ml,080026-03,2022-07-01,2022-07-26,2022-07-26,Delay in the release of the end product,Short-term unavailability,Aspen Pharma Trading Ltd. - IE - Active,BE080026,25.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacidexam,5 mg/ml,Solution for injection,10 x 1 ml,080026-03,2024-06-12,2024-08-09,2024-08-12,Delay in production,Import possible by the pharmacist,Aspen Pharma Trading Ltd. - IE - Active,BE080026,61.0,HUMAN,H02AB02 - Dexamethasone,H02AB02,
