France_index,z_index_index,ATC_match,best_z_index_index
0,767,True,
0,768,True,
0,7966,True,
0,19169,True,
0,19170,True,
0,22487,True,
0,23957,True,
0,29033,True,
0,38050,True,
0,52567,True,
0,65058,True,
1,10661,True,
1,13414,True,
1,29496,True,
2,4811,True,
2,4812,True,
2,15719,True,
2,31841,True,
2,68850,True,
3,7323,True,
3,7324,True,
3,24262,True,
3,26022,True,
3,26353,True,
3,29134,True,
3,29135,True,
3,36383,True,
3,38619,True,
3,39331,True,
3,39332,True,
3,39333,True,
3,39334,True,
3,39697,True,
3,39699,True,
3,42325,True,
3,42326,True,
3,54036,True,
3,54037,True,
3,54039,True,
3,54591,True,
3,55320,True,
3,55321,True,
3,55322,True,
3,56972,True,
3,62388,True,
3,63009,True,
3,64746,True,
3,65038,True,
3,65509,True,
3,65556,True,
3,68330,True,
3,69160,True,
3,70419,True,
4,1346,True,
4,1347,True,
4,1366,True,
4,1367,True,
4,1368,True,
4,1369,True,
4,28425,True,
4,52308,True,
4,52650,True,
4,56732,True,
4,58231,True,
4,58232,True,
4,58268,True,
4,68292,True,
4,68332,True,
5,34655,True,
6,1346,True,
6,1347,True,
6,1366,True,
6,1367,True,
6,1368,True,
6,1369,True,
6,28425,True,
6,52308,True,
6,52650,True,
6,56732,True,
6,58231,True,
6,58232,True,
6,58268,True,
6,68292,True,
6,68332,True,
7,399,True,
7,7995,True,
7,7996,True,
7,7997,True,
7,7998,True,
7,8338,True,
7,8339,True,
7,8340,True,
7,17402,True,
7,17403,True,
7,33264,True,
7,59602,True,
7,69685,True,
7,72722,True,
8,1346,True,
8,1347,True,
8,1366,True,
8,1367,True,
8,1368,True,
8,1369,True,
8,28425,True,
8,52308,True,
8,52650,True,
8,56732,True,
8,58231,True,
8,58232,True,
8,58268,True,
8,68292,True,
8,68332,True,
9,9300,True,
9,13314,True,
9,26327,True,
9,26329,True,
9,26331,True,
9,39834,True,
9,39838,True,
9,47427,True,
9,47429,True,
9,47431,True,
9,47433,True,
9,48519,True,
9,48521,True,
9,48764,True,
9,50926,True,
9,52234,True,
9,54076,True,
9,55670,True,
9,57724,True,
9,57726,True,
9,58271,True,
9,59374,True,
9,59840,True,
9,61006,True,
9,64758,True,
9,65086,True,
9,65504,True,
9,68293,True,
9,68295,True,
9,69234,True,
9,73308,True,
10,11456,True,
10,14148,True,
10,14149,True,
10,14153,True,
10,14154,True,
10,17693,True,
10,24990,True,
10,60475,True,
10,68319,True,
11,11456,True,
11,14148,True,
11,14149,True,
11,14153,True,
11,14154,True,
11,17693,True,
11,24990,True,
11,60475,True,
11,68319,True,
14,2428,True,
14,2968,True,
14,20071,True,
16,297,True,
16,3787,True,
16,3788,True,
16,3881,True,
16,7438,True,
16,7440,True,
16,7441,True,
16,7442,True,
16,7443,True,
16,7444,True,
16,9199,True,
16,16238,True,
16,21064,True,
16,23115,True,
16,23116,True,
16,23117,True,
16,23118,True,
16,23119,True,
16,23120,True,
16,23121,True,
16,23122,True,
16,23123,True,
16,23124,True,
16,23405,True,
16,25377,True,
16,25378,True,
16,25379,True,
16,25380,True,
16,25381,True,
16,25383,True,
16,25384,True,
17,24573,True,
17,37909,True,
18,1365,True,
18,7975,True,
18,7976,True,
18,7977,True,
18,7978,True,
18,7979,True,
18,7980,True,
18,7981,True,
18,7982,True,
18,7983,True,
18,7984,True,
18,22423,True,
18,22454,True,
18,22553,True,
18,22589,True,
18,22636,True,
18,37454,True,
18,38209,True,
18,38210,True,
18,39742,True,
18,42599,True,
18,42774,True,
18,45565,True,
18,48566,True,
18,51792,True,
18,58346,True,
18,59167,True,
18,59168,True,
18,59169,True,
18,59170,True,
18,59171,True,
18,59172,True,
18,63917,True,
20,1304,True,
20,1305,True,
20,1306,True,
20,2421,True,
20,3742,True,
20,3743,True,
20,4531,True,
20,4532,True,
20,6425,True,
20,25866,True,
20,39174,True,
20,54001,True,
20,54580,True,
20,54581,True,
20,54582,True,
20,54583,True,
20,55315,True,
20,57722,True,
20,57723,True,
20,60166,True,
20,64869,True,
20,69203,True,
20,69397,True,
20,72440,True,
21,547,True,
21,548,True,
21,717,True,
21,980,True,
21,1915,True,
21,1923,True,
21,2756,True,
21,5133,True,
21,6337,True,
21,12581,True,
21,17654,True,
21,31606,True,
21,31607,True,
21,66373,True,
21,66374,True,
21,67191,True,
23,875,True,
23,6534,True,
23,8252,True,
23,8256,True,
23,22648,True,
23,22656,True,
23,22658,True,
23,22715,True,
23,22782,True,
23,22856,True,
23,22868,True,
23,22872,True,
23,45916,True,
23,45926,True,
23,47452,True,
29,4689,True,
29,19221,True,
30,3100,True,
30,18126,True,
31,472,True,
31,482,True,
31,621,True,
31,643,True,
31,19785,True,
31,24478,True,
31,39675,True,
32,17456,True,
32,19351,True,
32,20004,True,
32,28942,True,
32,43299,True,
32,43861,True,
32,60570,True,
32,60571,True,
33,17456,True,
33,19351,True,
33,20004,True,
33,28942,True,
33,43299,True,
33,43861,True,
33,60570,True,
33,60571,True,
38,68789,True,
40,10446,True,
40,10459,True,
40,14122,True,
40,14135,True,
40,20808,True,
40,24095,True,
41,67904,True,
42,1724,True,
42,6209,True,
42,6865,True,
42,9178,True,
42,9179,True,
42,23538,True,
42,23539,True,
42,23540,True,
42,23541,True,
42,23542,True,
42,23543,True,
42,40027,True,
42,40215,True,
42,69149,True,
43,8507,True,
43,8538,True,
43,8569,True,
43,8600,True,
43,23499,True,
43,27421,True,
43,27452,True,
46,297,True,
46,3787,True,
46,3788,True,
46,3881,True,
46,7438,True,
46,7440,True,
46,7441,True,
46,7442,True,
46,7443,True,
46,7444,True,
46,9199,True,
46,16238,True,
46,21064,True,
46,23115,True,
46,23116,True,
46,23117,True,
46,23118,True,
46,23119,True,
46,23120,True,
46,23121,True,
46,23122,True,
46,23123,True,
46,23124,True,
46,23405,True,
46,25377,True,
46,25378,True,
46,25379,True,
46,25380,True,
46,25381,True,
46,25383,True,
46,25384,True,
48,10048,True,
48,10108,True,
48,10168,True,
48,10228,True,
48,17323,True,
48,18122,True,
48,18140,True,
48,21912,True,
49,1360,True,
49,1361,True,
50,4689,True,
50,19221,True,
51,25382,True,
51,25385,True,
51,51936,True,
51,51937,True,
52,137,True,
52,138,True,
52,139,True,
52,24301,True,
53,16352,True,
55,40442,True,
56,9578,True,
56,23546,True,
56,30787,True,
56,50490,True,
56,50492,True,
57,1317,True,
57,2498,True,
57,2611,True,
57,2612,True,
57,2613,True,
57,2640,True,
57,2734,True,
57,4835,True,
57,5750,True,
57,8335,True,
57,15146,True,
57,15147,True,
57,15927,True,
57,16303,True,
57,20544,True,
57,20573,True,
57,23590,True,
57,24390,True,
57,28396,True,
57,29836,True,
57,30490,True,
57,35924,True,
57,36780,True,
57,54370,True,
57,73936,True,
58,6081,True,
58,6082,True,
58,6573,True,
58,6574,True,
58,26533,True,
58,28506,True,
58,28508,True,
58,44234,True,
58,59306,True,
58,62623,True,
58,68404,True,
59,12488,True,
59,12489,True,
59,12490,True,
59,12535,True,
59,27385,True,
59,52666,True,
59,54141,True,
60,54024,True,
61,54024,True,
62,47979,True,
63,12864,True,
64,23577,True,
64,23578,True,
64,23579,True,
64,30402,True,
64,30575,True,
64,30800,True,
64,30801,True,
65,2922,True,
65,18125,True,
65,22191,True,
65,41778,True,
65,61983,True,
68,835,True,
68,8009,True,
68,57838,True,
68,65462,True,
69,835,True,
69,8009,True,
