Germany_index,z_index_index,ATC_match,best_z_index_index
0,41311,True,223824
0,41312,True,223824
0,41313,True,223824
0,49436,True,223824
0,49437,True,223824
0,49438,True,223824
0,65621,True,223824
0,65622,True,223824
0,72727,True,223824
1,33380,True,136271
2,2446,True,53694
3,42499,True,105309
3,42503,True,105309
3,42504,True,105309
3,42505,True,105309
3,42506,True,105309
3,42507,True,105309
3,42508,True,105309
3,74694,True,105309
3,74695,True,105309
3,74696,True,105309
3,74697,True,105309
3,74698,True,105309
3,74699,True,105309
4,42499,True,89494
4,42503,True,89494
4,42504,True,89494
4,42505,True,89494
4,42506,True,89494
4,42507,True,89494
4,42508,True,89494
4,74694,True,89494
4,74695,True,89494
4,74696,True,89494
4,74697,True,89494
4,74698,True,89494
4,74699,True,89494
5,124,True,
5,411,True,
5,506,True,
5,538,True,
5,1930,True,
5,19144,True,
5,19145,True,
5,19146,True,
5,68499,True,
