Italy_index,z_index_index,ATC_match,best_z_index_index
1,424,True,
1,709,True,
1,1862,True,
1,1864,True,
1,3740,True,
1,4498,True,
1,4500,True,
1,4502,True,
1,4504,True,
1,5753,True,
2,424,True,69280
2,709,True,69280
2,1862,True,69280
2,1864,True,69280
2,3740,True,69280
2,4498,True,69280
2,4500,True,69280
2,4502,True,69280
2,4504,True,69280
2,5753,True,69280
3,29088,True,136913
3,32479,True,136913
3,52938,True,136913
4,29088,True,136913
4,32479,True,136913
4,52938,True,136913
5,29088,True,136913
5,32479,True,136913
5,52938,True,136913
6,29088,True,136913
6,32479,True,136913
6,52938,True,136913
7,29088,True,136913
7,32479,True,136913
7,52938,True,136913
8,29088,True,136913
8,32479,True,136913
8,52938,True,136913
9,598,True,123315
9,599,True,123315
9,23980,True,123315
9,24470,True,123315
9,30661,True,123315
9,30797,True,123315
9,52226,True,123315
9,69852,True,123315
10,598,True,123323
10,599,True,123323
10,23980,True,123323
10,24470,True,123323
10,30661,True,123323
10,30797,True,123323
10,52226,True,123323
10,69852,True,123323
11,20061,True,102547
11,20063,True,102547
11,20065,True,102547
12,27419,True,
13,27419,True,31453
14,466,True,43257
14,659,True,43257
14,928,True,43257
14,1189,True,43257
14,3166,True,43257
14,5059,True,43257
14,6602,True,43257
14,19939,True,43257
14,22114,True,43257
14,23136,True,43257
14,60604,True,43257
16,1740,True,41858
16,3188,True,41858
16,3201,True,41858
16,24300,True,41858
16,52439,True,41858
16,52440,True,41858
16,62780,True,41858
16,64383,True,41858
16,64396,True,41858
17,1740,True,41831
17,3188,True,41831
17,3201,True,41831
17,24300,True,41831
17,52439,True,41831
17,52440,True,41831
17,62780,True,41831
17,64383,True,41831
17,64396,True,41831
18,3829,True,49522
19,466,True,
19,659,True,
19,928,True,
19,1189,True,
19,3166,True,
19,5059,True,
19,6602,True,
19,19939,True,
19,22114,True,
19,23136,True,
19,60604,True,
20,466,True,
20,659,True,
20,928,True,
20,1189,True,
20,3166,True,
20,5059,True,
20,6602,True,
20,19939,True,
20,22114,True,
20,23136,True,
20,60604,True,
21,466,True,25038
21,659,True,25038
21,928,True,25038
21,1189,True,25038
21,3166,True,25038
21,5059,True,25038
21,6602,True,25038
21,19939,True,25038
21,22114,True,25038
21,23136,True,25038
21,60604,True,25038
22,466,True,25038
22,659,True,25038
22,928,True,25038
22,1189,True,25038
22,3166,True,25038
22,5059,True,25038
22,6602,True,25038
22,19939,True,25038
22,22114,True,25038
22,23136,True,25038
22,60604,True,25038
23,466,True,25038
23,659,True,25038
23,928,True,25038
23,1189,True,25038
23,3166,True,25038
23,5059,True,25038
23,6602,True,25038
23,19939,True,25038
23,22114,True,25038
23,23136,True,25038
23,60604,True,25038
24,1698,True,
24,3889,True,
25,1698,True,23094
25,3889,True,23094
26,553,True,26867
26,2178,True,26867
26,2369,True,26867
26,2386,True,26867
26,3636,True,26867
26,6065,True,26867
26,25860,True,26867
26,42703,True,26867
26,46734,True,26867
26,54579,True,26867
26,69955,True,26867
26,71105,True,26867
27,553,True,
27,2178,True,
27,2369,True,
27,2386,True,
27,3636,True,
27,6065,True,
27,25860,True,
27,42703,True,
27,46734,True,
27,54579,True,
27,69955,True,
27,71105,True,
28,553,True,26417
28,2178,True,26417
28,2369,True,26417
28,2386,True,26417
28,3636,True,26417
28,6065,True,26417
28,25860,True,26417
28,42703,True,26417
28,46734,True,26417
28,54579,True,26417
28,69955,True,26417
28,71105,True,26417
29,553,True,
29,2178,True,
29,2369,True,
29,2386,True,
29,3636,True,
29,6065,True,
29,25860,True,
29,42703,True,
29,46734,True,
29,54579,True,
29,69955,True,
29,71105,True,
30,553,True,
30,2178,True,
30,2369,True,
30,2386,True,
30,3636,True,
30,6065,True,
30,25860,True,
30,42703,True,
30,46734,True,
30,54579,True,
30,69955,True,
30,71105,True,
31,553,True,26867
31,2178,True,26867
31,2369,True,26867
31,2386,True,26867
31,3636,True,26867
31,6065,True,26867
31,25860,True,26867
31,42703,True,26867
31,46734,True,26867
31,54579,True,26867
31,69955,True,26867
31,71105,True,26867
32,553,True,26417
32,2178,True,26417
32,2369,True,26417
32,2386,True,26417
32,3636,True,26417
32,6065,True,26417
32,25860,True,26417
32,42703,True,26417
32,46734,True,26417
32,54579,True,26417
32,69955,True,26417
32,71105,True,26417
33,553,True,
33,2178,True,
33,2369,True,
33,2386,True,
33,3636,True,
33,6065,True,
33,25860,True,
33,42703,True,
33,46734,True,
33,54579,True,
33,69955,True,
33,71105,True,
34,553,True,26867
34,2178,True,26867
34,2369,True,26867
34,2386,True,26867
34,3636,True,26867
34,6065,True,26867
34,25860,True,26867
34,42703,True,26867
34,46734,True,26867
34,54579,True,26867
34,69955,True,26867
34,71105,True,26867
35,1698,True,23094
35,3889,True,23094
36,553,True,45276
36,2178,True,45276
36,2369,True,45276
36,2386,True,45276
36,3636,True,45276
36,6065,True,45276
36,25860,True,45276
36,42703,True,45276
36,46734,True,45276
36,54579,True,45276
36,69955,True,45276
36,71105,True,45276
37,553,True,40991
37,2178,True,40991
