Nome medicinale,Codice AIC,Principio attivo,Forma farmaceutica e dosaggio,Titolare AIC,Data inizio,Fine presunta,Equivalente,Motivazioni,Suggerimenti/Indicazioni AIFA,Nota AIFA,Classe di rimborsabilit�,Codice ATC,cleaned_atc,PRK
ABIMONO,25358045,ISOCONAZOLO NITRATO,"""1% CREMA VAGINALE"" 1 TUBO DA 30 G + 6 APPLICATORI MONOUSO",FARMITALIA INDUSTRIA CHIMICO FARMACEUTICA S.R.L.,01/02/2019,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,G01AF07,G01AF07,
ABIOCLAV,37350028,ACIDO CLAVULANICO + AMOXICILLINA,""" 400 MG + 57 MG/5 ML POLVERE PER SOSPENSIONE ORALE "" FLACONE DA 70 ML CON CUCCHIAIO DOSATORE",AESCULAPIUS FARMACEUTICI SRL,15/12/2023,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J01CR02,J01CR02,
ABIOCLAV,37350016,ACIDO CLAVULANICO + AMOXICILLINA,""" 875 MG + 125 MG COMPRESSE RIVESTITE CON FILM "" 12 COMPRESSE IN BLISTER AL/PE",AESCULAPIUS FARMACEUTICI SRL,01/01/2025,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,J01CR02,J01CR02,69280
ABIRATERONE EG,49475344,ABIRATERONE ACETATO,"""500 MG COMPRESSE RIVESTITE CON FILM"" 56X1 COMPRESSE IN BLISTER DIVISIBILE PER DOSE UNITARIA AL-PVC/PE/PVDC",EG S.P.A.,26/01/2023,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L02BX03,L02BX03,136913
ABIRATERONE MYLAN,49686052,ABIRATERONE ACETATO,500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU-PVC/PE/PVDC) - 56 COMPRESSE,MYLAN PHARMACEUTICALS LIMITED,30/06/2024,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L02BX03,L02BX03,136913
ABIRATERONE QILU,50048038,ABIRATERONE,"""500 MG COMPRESSE RIVESTITE CON FILM"" 14x4 COMPRESSE IN BLISTER PVC/AL DIVISIBILE PER DOSE UNITARIA",QILU PHARMA SPAIN S.L.,18/06/2024,,S�,Problemi produttivi,Rilasciata determinazione per l�importazione al titolare A.I.C.,Confezioni importate dal Titolare AIC a seguito di rilascio determinazione disponibili dal 12.08.2024,A CARICO DEL SSN AMBITO OSPED.,L02BX03,L02BX03,136913
ABIRATERONE SANDOZ,48401261,ABIRATERONE ACETATO,"""500 MG COMPRESSE RIVESTITE CON FILM""  56 COMPRESSE IN BLISTER AL/PVC/PE/PVDC",SANDOZ S.P.A.,01/01/2025,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L02BX03,L02BX03,136913
ABIRATERONE SUN,50293012,ABIRATERONE ACETATO,"""500 mg COMPRESSE RIVESTITE CON FILM"" 56 COMPRESSE IN BLISTER PVDC/PE/PVC/AL",SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.,20/03/2025,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L02BX03,L02BX03,136913
ABIRATERONE ZENTIVA,49755010,ABIRATERONE ACETATO,"""500 mg compresse rivestite con film"" 56 compresse in blister PVC/PVDC/AL",ZENTIVA ITALIA S.R.L.,16/09/2024,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,L02BX03,L02BX03,136913
ABIS,38038016,AMLODIPINA BESILATO,""" 5 MG COMPRESSE "" 28 COMPRESSE",A.G.I.P.S. FARMACEUTICI SRL,15/11/2024,27/01/2025,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C08CA01,C08CA01,123315
