REGISTRATIENUMMER,SOORT,PRODUCTNAAM,INSCHRIJVINGSDATUM,HANDELSVERGUNNINGHOUDER,AFLEVERSTATUS,FARMACEUTISCHEVORM,POTENTIE,PROCEDURENUMMER,TOEDIENINGSWEG,AANVULLENDEMONITORING,SMPC_FILENAAM,BIJSLUITER_FILENAAM,PAR_FILENAAM,SPAR_FILENAAM,ARMM_FILENAAM,SMPC_WIJZIG_DATUM,BIJSLUITER_WIJZIG_DATUM,ATC,WERKZAMESTOFFEN,HULPSTOFFEN,PRODUCTDETAIL_LINK,NIEUWS_LINKS,NIEUWS_LINK_DATUMS,REFERENTIE,SMPC_VORIGE_VERSIE,SMPC_VORIGE_VORIGE_VERSIE,cleaned_atc,PRK
130393//13150,RVG ,"Cisordinol Depot 500 mg/ml, injectievloeistof i.m.",2022/12/13,BModesto B.V.,Uitsluitend recept,Oplossing voor injectie,,,Parenteraal,N,https://www.geneesmiddeleninformatiebank.nl/smpc/h13150_smpc.pdf,https://www.geneesmiddeleninformatiebank.nl/bijsluiters/h130393.pdf,,,,15-SEP-20,19-DEC-22,N05AF05,ZUCLOPENTIXOLDECANOAAT,TRIGLYCERIDEN MIDDELLANGE KETEN,https://www.geneesmiddeleninformatiebank.nl/nl/rvg130393,,,"BModesto B.V., Cisordinol Depot 500 mg/ml, injectievloeistof i.m. (130393//13150), 15-SEP-20",,,N05AF05,27391
133387//16055,RVG ,"Creon 25.000 eenheden, harde maagsapresistente capsules",2024/07/10,Euro Registratie Collectief B.V.,Uitsluitend recept,"Maagsapresistente capsule, hard",,,Oraal gebruik,N,https://www.geneesmiddeleninformatiebank.nl/smpc/h16055_smpc.pdf,https://www.geneesmiddeleninformatiebank.nl/bijsluiters/h133387.pdf,,,,21-FEB-25,18-SEP-25,A09AA02,AMYLASE#LIPASE#PANCREATINE#PROTEASE,CETYLALCOHOL#DIMETICON (E 900)#GELATINE (E 441)#HYPROMELLOSEFTALAAT#IJZEROXIDE GEEL (E 172) #IJZEROXIDE ROOD  (E 172) #MACROGOL 4000 #NATRIUMLAURILSULFAAT#TRIETHYLCITRAAT (E 1505) ,https://www.geneesmiddeleninformatiebank.nl/nl/rvg133387,,,"Euro Registratie Collectief B.V., Creon 25.000 eenheden, harde maagsapresistente capsules (133387//16055), 21-FEB-25",,,A09AA02,100331
134141//16055,RVG ,"Creon 25.000, harde maagsapresistente capsules 25.000 eenheden",2024/12/09,BModesto B.V.,Uitsluitend recept,"Maagsapresistente capsule, hard",,,Oraal gebruik,N,https://www.geneesmiddeleninformatiebank.nl/smpc/h16055_smpc.pdf,https://www.geneesmiddeleninformatiebank.nl/bijsluiters/h134141.pdf,,,,21-FEB-25,11-DEC-24,A09AA02,AMYLASE#LIPASE#PANCREATINE#PROTEASE,CETYLALCOHOL#DIMETICON (E 900)#GELATINE (E 441)#HYPROMELLOSEFTALAAT#IJZEROXIDE GEEL (E 172) #IJZEROXIDE ROOD  (E 172) #MACROGOL 4000 #NATRIUMLAURILSULFAAT#TRIETHYLCITRAAT (E 1505) ,https://www.geneesmiddeleninformatiebank.nl/nl/rvg134141,,,"BModesto B.V., Creon 25.000, harde maagsapresistente capsules 25.000 eenheden (134141//16055), 21-FEB-25",,,A09AA02,100331
132390//16055,RVG ,"Creon 25.000, harde maagsapresistente capsules 25.000 eenheden",2024/09/13,Eureco-Pharma B.V.,Uitsluitend recept,"Maagsapresistente capsule, hard",,,Oraal gebruik,N,https://www.geneesmiddeleninformatiebank.nl/smpc/h16055_smpc.pdf,https://www.geneesmiddeleninformatiebank.nl/bijsluiters/h132390.pdf,,,,21-FEB-25,21-MAR-25,A09AA02,AMYLASE#LIPASE#PANCREATINE#PROTEASE,CETYLALCOHOL#DIMETICON (E 900)#GELATINE (E 441)#HYPROMELLOSEFTALAAT#IJZEROXIDE GEEL (E 172) #IJZEROXIDE ROOD  (E 172) #MACROGOL 4000 #NATRIUMLAURILSULFAAT#TRIETHYLCITRAAT (E 1505) ,https://www.geneesmiddeleninformatiebank.nl/nl/rvg132390,,,"Eureco-Pharma B.V., Creon 25.000, harde maagsapresistente capsules 25.000 eenheden (132390//16055), 21-FEB-25",,,A09AA02,100331
129821//16055,RVG ,"Creon 25.000, harde maagsapresistente capsules 25.000 eenheden",2022/06/09,Medcor Pharmaceuticals B.V.,Uitsluitend recept,"Maagsapresistente capsule, hard",,,Oraal gebruik,N,https://www.geneesmiddeleninformatiebank.nl/smpc/h16055_smpc.pdf,https://www.geneesmiddeleninformatiebank.nl/bijsluiters/h129821.pdf,,,,21-FEB-25,07-OCT-24,A09AA02,AMYLASE#LIPASE#PANCREATINE#PROTEASE,CETYLALCOHOL#DIMETICON (E 900)#GELATINE (E 441)#HYPROMELLOSEFTALAAT#IJZEROXIDE GEEL (E 172) #IJZEROXIDE ROOD  (E 172) #MACROGOL 4000 #NATRIUMLAURILSULFAAT#TRIETHYLCITRAAT (E 1505) ,https://www.geneesmiddeleninformatiebank.nl/nl/rvg129821,,,"Medcor Pharmaceuticals B.V., Creon 25.000, harde maagsapresistente capsules 25.000 eenheden (129821//16055), 21-FEB-25",,,A09AA02,100331
127815//16055,RVG ,"Creon 25.000, harde maagsapresistente capsules 25.000 eenheden",2021/03/02,BModesto B.V.,Uitsluitend recept,"Maagsapresistente capsule, hard",,,Oraal gebruik,N,https://www.geneesmiddeleninformatiebank.nl/smpc/h16055_smpc.pdf,https://www.geneesmiddeleninformatiebank.nl/bijsluiters/h127815.pdf,,,,21-FEB-25,12-JUN-25,A09AA02,AMYLASE#LIPASE#PANCREATINE#PROTEASE,CETYLALCOHOL#DIMETICON (E 900)#GELATINE (E 441)#HYPROMELLOSEFTALAAT#IJZEROXIDE GEEL (E 172) #IJZEROXIDE ROOD  (E 172) #MACROGOL 4000 #NATRIUMLAURILSULFAAT#TRIETHYLCITRAAT (E 1505) ,https://www.geneesmiddeleninformatiebank.nl/nl/rvg127815,,,"BModesto B.V., Creon 25.000, harde maagsapresistente capsules 25.000 eenheden (127815//16055), 21-FEB-25",,,A09AA02,100331
125925//16055,RVG ,"Creon 25.000, harde maagsapresistente capsules 25.000 eenheden",2020/04/23,Medcor Pharmaceuticals B.V.,Uitsluitend recept,"Maagsapresistente capsule, hard",,,Oraal gebruik,N,https://www.geneesmiddeleninformatiebank.nl/smpc/h16055_smpc.pdf,https://www.geneesmiddeleninformatiebank.nl/bijsluiters/h125925.pdf,,,,21-FEB-25,07-OCT-24,A09AA02,AMYLASE#LIPASE#PANCREATINE#PROTEASE,CETYLALCOHOL#DIMETICON (E 900)#GELATINE (E 441)#HYPROMELLOSEFTALAAT#IJZEROXIDE GEEL (E 172) #IJZEROXIDE ROOD  (E 172) #IJZEROXIDE ZWART (E 172) #MACROGOL 4000 #NATRIUMLAURILSULFAAT#TRIETHYLCITRAAT (E 1505) ,https://www.geneesmiddeleninformatiebank.nl/nl/rvg125925,,,"Medcor Pharmaceuticals B.V., Creon 25.000, harde maagsapresistente capsules 25.000 eenheden (125925//16055), 21-FEB-25",,,A09AA02,100331
134918//11469,RVG ,"Salofalk 4 g/60 g, klysma",2025/07/29,BModesto B.V.,Uitsluitend recept,Oplossing voor rectaal gebruik,,,Rectaal gebruik,N,https://www.geneesmiddeleninformatiebank.nl/smpc/h11469_smpc.pdf,https://www.geneesmiddeleninformatiebank.nl/bijsluiters/h134918.pdf,,,,21-FEB-25,04-AUG-25,A07EC02,MESALAZINE,"CARBOMEER 974P#DINATRIUMEDETAAT 2-WATER#KALIUMACETAAT (E 261)#KALIUMMETABISULFIET (E 224)#NATRIUMBENZOAAT (E 211)#WATER, GEZUIVERD#XANTHAANGOM (E 415) ",https://www.geneesmiddeleninformatiebank.nl/nl/rvg134918,,,"BModesto B.V., Salofalk 4 g/60 g, klysma (134918//11469), 21-FEB-25",,,A07EC02,24562
128137//11469,RVG ,"Salofalk 4 g/60 g, klysma",2022/04/26,Medcor Pharmaceuticals B.V.,Uitsluitend recept,Oplossing voor rectaal gebruik,,,Rectaal gebruik,N,https://www.geneesmiddeleninformatiebank.nl/smpc/h11469_smpc.pdf,https://www.geneesmiddeleninformatiebank.nl/bijsluiters/h128137.pdf,,,,21-FEB-25,30-APR-25,A07EC02,MESALAZINE,CARBOMEER 974P#DINATRIUMEDETAAT 2-WATER#KALIUMACETAAT (E 261)#KALIUMMETABISULFIET (E 224)#NATRIUMBENZOAAT (E 211)#WATER VOOR INJECTIE#XANTHAANGOM (E 415) ,https://www.geneesmiddeleninformatiebank.nl/nl/rvg128137,,,"Medcor Pharmaceuticals B.V., Salofalk 4 g/60 g, klysma (128137//11469), 21-FEB-25",,,A07EC02,24562
128367//18195,RVG ,"Flixotide Diskus 500 microgram/dosis-inhalatiepoeder, voorverdeeld",2022/09/13,Originalis B.V.,Uitsluitend recept,"Inhalatiepoeder, voorverdeeld",,,Inhalatie,N,https://www.geneesmiddeleninformatiebank.nl/smpc/h18195_smpc.pdf,https://www.geneesmiddeleninformatiebank.nl/bijsluiters/h128367.pdf,,,,01-OCT-21,14-SEP-22,R03BA05,FLUTICASONPROPIONAAT,LACTOSE 1-WATER,https://www.geneesmiddeleninformatiebank.nl/nl/rvg128367,,,"Originalis B.V., Flixotide Diskus 500 microgram/dosis-inhalatiepoeder, voorverdeeld (128367//18195), 01-OCT-21",,,R03BA05,66664
