Spain_index,z_index_index,ATC_match,best_z_index_index
4,27847,True,66753
4,27848,True,66753
4,27849,True,66753
4,27850,True,66753
5,2637,True,57541
5,2638,True,57541
5,2639,True,57541
5,7026,True,57541
5,7027,True,57541
5,52630,True,57541
6,3464,True,
6,3465,True,
6,7326,True,
6,14554,True,
6,18788,True,
16,19565,True,
17,2349,True,
17,2350,True,
18,5053,True,
18,5055,True,
18,5057,True,
18,43587,True,
19,4117,True,52051
19,9056,True,52051
19,9057,True,52051
19,12240,True,52051
20,4117,True,52043
20,9056,True,52043
20,9057,True,52043
20,12240,True,52043
21,1849,True,43044
21,3098,True,43044
21,3099,True,43044
21,50795,True,43044
21,65555,True,43044
25,3464,True,
25,3465,True,
25,7326,True,
25,14554,True,
25,18788,True,
29,25467,True,107654
29,26196,True,107654
29,26204,True,107654
30,3464,True,61220
30,3465,True,61220
30,7326,True,61220
30,14554,True,61220
30,18788,True,61220
31,3464,True,
31,3465,True,
31,7326,True,
31,14554,True,
31,18788,True,
32,3464,True,
32,3465,True,
32,7326,True,
32,14554,True,
32,18788,True,
33,3464,True,
33,3465,True,
33,7326,True,
33,14554,True,
33,18788,True,
34,1779,True,49603
34,1780,True,49603
34,1781,True,49603
34,2419,True,49603
34,2420,True,49603
38,2631,True,25534
38,2826,True,25534
38,3531,True,25534
38,13283,True,25534
38,16248,True,25534
41,1835,True,232815
41,1872,True,232815
41,18070,True,232815
41,18071,True,232815
41,18072,True,232815
41,18073,True,232815
41,71517,True,232815
42,1835,True,232815
42,1872,True,232815
42,18070,True,232815
42,18071,True,232815
42,18072,True,232815
42,18073,True,232815
42,71517,True,232815
44,11263,True,71307
44,11298,True,71307
44,49337,True,71307
45,1709,True,32336
45,4606,True,32336
48,35338,True,
48,35339,True,
48,35340,True,
52,29088,True,136913
52,32479,True,136913
52,52938,True,136913
54,1228,True,44083
54,1229,True,44083
54,2381,True,44083
54,6605,True,44083
54,6776,True,44083
54,50438,True,44083
54,60380,True,44083
54,60381,True,44083
54,61207,True,44083
54,61208,True,44083
54,61209,True,44083
58,605,True,135119
58,703,True,135119
58,1313,True,135119
58,1883,True,135119
58,3116,True,135119
58,3874,True,135119
58,5915,True,135119
58,13567,True,135119
58,22818,True,135119
58,32783,True,135119
58,43219,True,135119
58,43559,True,135119
58,50650,True,135119
58,50651,True,135119
58,63216,True,135119
58,73956,True,135119
59,605,True,135119
59,703,True,135119
59,1313,True,135119
59,1883,True,135119
59,3116,True,135119
59,3874,True,135119
59,5915,True,135119
59,13567,True,135119
59,22818,True,135119
59,32783,True,135119
59,43219,True,135119
59,43559,True,135119
59,50650,True,135119
59,50651,True,135119
59,63216,True,135119
59,73956,True,135119
60,1709,True,32336
60,4606,True,32336
66,2439,True,53589
66,2440,True,53589
69,3406,True,80330
69,3426,True,80330
69,4284,True,80330
69,6354,True,80330
69,20007,True,80330
69,22105,True,80330
69,22106,True,80330
69,28270,True,80330
69,28667,True,80330
69,30666,True,80330
69,33177,True,80330
72,6594,True,81450
73,28737,True,128228
73,28738,True,128228
75,50355,True,204331
77,1414,True,46353
77,37695,True,46353
83,6526,True,69884
83,8797,True,69884
83,24765,True,69884
83,29643,True,69884
83,39335,True,69884
83,39337,True,69884
83,39338,True,69884
83,39339,True,69884
83,47397,True,69884
83,47398,True,69884
83,47399,True,69884
83,47400,True,69884
83,47402,True,69884
83,48291,True,69884
83,48367,True,69884
83,48518,True,69884
83,50432,True,69884
83,54030,True,69884
83,54031,True,69884
83,54033,True,69884
83,54034,True,69884
83,54587,True,69884
83,54588,True,69884
83,54589,True,69884
83,55317,True,69884
83,57681,True,69884
83,57683,True,69884
83,57687,True,69884
83,57688,True,69884
83,59007,True,69884
83,60186,True,69884
83,63008,True,69884
83,63262,True,69884
83,64744,True,69884
83,64745,True,69884
83,65092,True,69884
83,68288,True,69884
83,68311,True,69884
83,69143,True,69884
92,25467,True,107662
92,26196,True,107662
92,26204,True,107662
100,27847,True,66745
100,27848,True,66745
100,27849,True,66745
100,27850,True,66745
101,27847,True,66753
101,27848,True,66753
101,27849,True,66753
101,27850,True,66753
102,3184,True,60186
102,28046,True,60186
103,3097,True,
103,8219,True,
103,22539,True,
103,25261,True,
104,14698,True,220000
104,18129,True,220000
104,30749,True,220000
104,35015,True,220000
104,35034,True,220000
104,35053,True,220000
104,64254,True,220000
104,64255,True,220000
104,64256,True,220000
105,14698,True,
105,18129,True,
105,30749,True,
105,35015,True,
105,35034,True,
105,35053,True,
105,64254,True,
105,64255,True,
105,64256,True,
107,1876,True,50652
107,1877,True,50652
107,22364,True,50652
108,3464,True,
108,3465,True,
108,7326,True,
108,14554,True,
108,18788,True,
112,2637,True,52833
112,2638,True,52833
112,2639,True,52833
112,7026,True,52833
112,7027,True,52833
112,52630,True,52833
116,2981,True,58408
116,2982,True,58408
116,2983,True,58408
116,6551,True,58408
116,21891,True,58408
116,25041,True,58408
120,4704,True,75701
120,4705,True,75701
120,4706,True,75701
120,4707,True,75701
120,44699,True,75701
121,2599,True,54879
121,20553,True,54879
123,28737,True,128236
123,28738,True,128236
124,3464,True,
124,3465,True,
124,7326,True,
124,14554,True,
124,18788,True,
126,4203,True,92886
126,4240,True,92886
126,15403,True,92886
126,15440,True,92886
126,18119,True,92886
126,20364,True,92886
128,10401,True,88153
128,54952,True,88153
129,12101,True,51039
129,12123,True,51039
129,13493,True,51039
129,13515,True,51039
129,18120,True,51039
129,34173,True,51039
