Sweden_index,z_index_index,ATC_match,best_z_index_index
0,2349,True,135992
0,2350,True,135992
1,4917,True,136050
2,4917,True,136050
3,4917,True,136050
4,4917,True,136050
5,3408,True,121312
5,7352,True,121312
5,27406,True,121312
5,44042,True,121312
6,3366,True,130729
6,28786,True,130729
7,261,True,5061
7,9059,True,5061
7,9060,True,5061
7,9061,True,5061
8,261,True,5061
8,9059,True,5061
8,9060,True,5061
8,9061,True,5061
9,261,True,5088
9,9059,True,5088
9,9060,True,5088
9,9061,True,5088
10,261,True,5088
10,9059,True,5088
10,9060,True,5088
10,9061,True,5088
11,261,True,5088
11,9059,True,5088
11,9060,True,5088
11,9061,True,5088
12,261,True,5088
12,9059,True,5088
12,9060,True,5088
12,9061,True,5088
13,261,True,5088
13,9059,True,5088
13,9060,True,5088
13,9061,True,5088
14,261,True,5088
14,9059,True,5088
14,9060,True,5088
14,9061,True,5088
15,261,True,
15,9059,True,
15,9060,True,
15,9061,True,
16,261,True,
16,9059,True,
16,9060,True,
16,9061,True,
17,261,True,
17,9059,True,
17,9060,True,
17,9061,True,
18,226,True,
18,635,True,
18,10009,True,
18,11392,True,
18,18554,True,
18,18556,True,
18,18558,True,
19,226,True,
19,635,True,
19,10009,True,
19,11392,True,
19,18554,True,
19,18556,True,
19,18558,True,
20,226,True,
20,635,True,
20,10009,True,
20,11392,True,
20,18554,True,
20,18556,True,
20,18558,True,
21,226,True,
21,635,True,
21,10009,True,
21,11392,True,
21,18554,True,
21,18556,True,
21,18558,True,
22,226,True,
22,635,True,
22,10009,True,
22,11392,True,
22,18554,True,
22,18556,True,
22,18558,True,
23,6411,True,75248
23,12945,True,75248
23,22000,True,75248
23,22001,True,75248
23,23243,True,75248
23,28670,True,75248
23,28671,True,75248
23,28839,True,75248
23,29129,True,75248
23,30478,True,75248
23,36879,True,75248
23,60608,True,75248
23,64839,True,75248
24,6411,True,117633
24,12945,True,117633
24,22000,True,117633
24,22001,True,117633
24,23243,True,117633
24,28670,True,117633
24,28671,True,117633
24,28839,True,117633
