nr,ZI-nummer,Artikelnaam,Verpakking status*,Preferent bij Zilveren Kruis,Preferent bij CZ,Preferent bij Menzis,Preferent bij VGZ,Preferent bij DSW,Preferent bij ONVZ,Laagste Prijs  Niet-beschikbaar,Opmerking van fabrikant,scrape_datum,bron_week
1,15702944,A-CQ 100 CHLOROQUINE TABLET 100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
2,15704580,ABSTRAL TABLET SUBLINGUAAL 100MCG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
3,15704599,ABSTRAL TABLET SUBLINGUAAL 100MCG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
4,13484230,"ACELYN TABLET 0,05MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
5,17171180,ACENOCOUMAROL AUROBINDO TABLET 1MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
6,15429784,ACETYLSALICYLZUUR CARDIO AUROBINDO DISP TABL 80MG,,False,False,False,False,False,False,,16993748 is ook preferent en beschikbaar,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
7,14083515,ACETYLSALICYLZUUR CARDIO TEVA DISP TABLET 80MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
8,16361210,AIRFLUSAL AEROSOL 25/125MCG/DO SPBS 120DO + INH,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
9,16361229,AIRFLUSAL AEROSOL 25/250MCG/DO SPBS 120DO + INH,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
10,14898543,AIROMIR 100 AEROSOL 100MCG/DO SPBS 200DO+INHALATOR,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
11,14331969,ALDARA CREME 50MG/G IN SACHET,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
12,17346371,ALIPALMTIN CAPSULE 10MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
13,17367360,ALIPALMTIN CAPSULE 30MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
14,17082072,ALLOPURINOL ARISTO TABLET 300MG,,False,False,False,False,False,False,,V,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
15,15694690,ALLOPURINOL PCH TABLET 100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
16,14683881,"ALMOGRAN TABLET OMHULD 12,5MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
17,14683911,"ALMOGRAN TABLET OMHULD 12,5MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
18,15860329,AMILORIDE HCL/HYDROCHLOORTHIAZIDE ACCORD TB 5/50MG,,False,False,False,False,False,False,,Week 7,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
19,17338123,AMITRIPTYLINE HCL AMAROX TABLET FILMOMHULD 50MG,,False,False,False,False,False,False,,Week 7,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
20,15521877,AMITRIPTYLINE HCL AURO TABLET 25MG,,False,False,False,False,False,False,,Is GDS verpakking. Beschikbaar. Niet pref.,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
21,15735508,AMITRIPTYLINE HCL AURO TABLET 25MG,,False,False,False,False,False,False,,Niet preferent,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
22,16999401,AMITRIPTYLINE HCL STRIDES TABLET FILMOMHULD 50MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
23,15730158,AMLODIPINE PCH TABLET 5MG (ALS BESILAAT),,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
24,15593274,AMLODIPINE VIATRIS TABLET 5MG (ALS BESILAAT),,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
25,16808940,APREPITANT CF CAPSULE 1X125MG/2X80MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
26,16750020,APREPITANT TEVA CAPSULE 1X125MG/2X80MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
27,16750004,APREPITANT TEVA CAPSULE 80MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
28,16798953,APREPITANT XIROMED CAPSULE 125MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
29,16798961,APREPITANT XIROMED CAPSULE 1X125MG/2X80MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
30,16151887,ARCOXIA TABLET FILMOMHULD 30MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
31,16151909,ARCOXIA TABLET FILMOMHULD 60MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
32,16182014,ATENOLOL ACCORD TABLET 25MG,,False,False,False,False,False,False,,Niet preferent; >3 maanden,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
33,16182057,ATENOLOL ACCORD TABLET 100MG,,False,False,False,False,False,False,,Niet preferent; >3 maanden,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
34,16813030,ATOMOXETINE ACCORD CAPSULE 18MG,,False,False,False,False,False,False,,Niet preferent; >3 maanden,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
35,17361117,ATOMOXETINE AMAROX CAPSULE 10MG,,False,False,False,False,False,False,,Week 7,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
36,17330963,ATOMOXETINE AMAROX CAPSULE 18MG,,False,False,False,False,False,False,,Beschikbaar,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
37,17361141,ATOMOXETINE AMAROX CAPSULE 80MG,,False,False,False,False,False,False,,Beschikbaar,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
38,16812743,ATOMOXETINE GLENMARK CAPSULE 100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
39,16812638,ATOMOXETINE GLENMARK CAPSULE 10MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
40,16812670,ATOMOXETINE GLENMARK CAPSULE 25MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
41,16812697,ATOMOXETINE GLENMARK CAPSULE 60MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
42,16812719,ATOMOXETINE GLENMARK CAPSULE 80MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
43,16811674,ATOMOXETINE HCL AUROBINDO CAPSULE 25MG,,False,False,False,False,False,False,,Niet preferent,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
44,16768175,ATOMOXETINE TEVA CAPSULE 40MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
45,16857658,ATORVASTATINE ARISTO TABLET FILMOMHULD 20MG,,False,False,False,False,False,False,,V,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
46,16519752,ATORVASTATINE AUROBINDO TABLET FILMOMHULD 20MG,,False,False,False,False,False,False,,Niet preferent,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
47,15796515,ATORVASTATINE MYLAN TABLET FILMOMHULD 20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
48,15796523,ATORVASTATINE MYLAN TABLET FILMOMHULD 40MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
